PROCEDENCI,TIPUS,FRGMENT,SECCIO,VORES,ARESTES,SEP__AREST,CODI,LONG,AMPL,GROS,TALO,GR_TALO,AMPL_TALO,BULB,ESC_BULB,CORTEX
x.v. xlvi-8/15-18,3,2,2,,2,,212,,110,41,7,,,,,0
x.v. xlvi-8/15-18,3,3,,2,,,,,96,34,7,,,,,0
x.v. xlvi-8/15-18,3,3,1,2,,,,,69,32,7,,,,,0
x.v. xlvi-8/15-18,4,2,2,1,1,,123,,175,29,7,,,,,0
x.v. xlvi-8/15-18,4,2,2,1,2,,321,,161,56,,,,,,4
x.v. xlvi-8/15-18,4,1,1,2,1,,12,,131,37,3,28,43,2,1,0
x.v. xlvi-8/15-18,4,2,2,1,1,,212,,161,37,7,,,,,0
x.v. xlvi-8/15-18,2,3,2,2,2,,212,,182,36,7,,,,,0
x.v. xlvi-8/15-18,5,2,1,1,2,,21,,95,34,7,,,,,0
x.v. xlvi-8/15-18,2,2,2,1,1,,123,,149,25,7,,,,,0
x.v. xlvi-8/15,1,1,2,2,2,,212,236,137,31,3,64,24,2,1,0
x.v. xlvi-8/15,1,1,2,1,2,,212,212,138,33,3,61,22,2,1,0
x.v. xlvi-8/15,1,2,2,1,1,,212,,122,41,7,,,,,0
x.v. xlvi-8/15,1,3,2,2,2,,212,21,,26,7,,,,,0
x.v. xlvi-8/15,2,2,2,,2,,121,,,,7,,,,,0
x.v. xlvi-8/15,4,2,3,2,3,,,,202,54,7,,,,,0
x.v. xlvi-8/17 dacsa,1,1,1,2,2,,21,198,125,46,3,56,18,3,1,0
x.v. xlvi-8/17 dacsa,1,2,2,,2,,321,,,,7,,,,,0
x.v. xlvi-8/11-14 pitol,1,3,2,1,1,,123,170,126,22,7,,,,,0
x.v. xlvi-8/11-14 pitol,1,1,2,2,2,,212,47,117,30,3,9,28,,,0
x.v. xlvi-8/13 aig�era,1,1,2,1,1,,212,219,128,39,3,52,23,2,1,0
x.v. xlvi-8/13 aig�era,1,1,2,2,1,,212,156,139,30,3,111,31,3,1,0
x.v. xlvi-8/13 aig�era,1,2,3,2,3,,123,,103,41,7,,,,,0
x.v. xlvi-8/11 fallat,1,2,2,1,2,,123,200,116,36,7,,,,,0
x.v. xlvi-8/11 fallat,1,3,2,2,2,,1212,200,183,38,7,,,,,0
x.v. xlvi-8/11 fallat,1,1,2,1,1,,321,157,108,22,3,20,76,3,1,0
x.v. xlvi-8/14 pitol,1,1,2,1,2,,212,175,109,31,3,32,102,2,1,0
x.v. xlvi-8/14 pitol,1,2,2,1,1,2,212,164,90,28,7,,,,,0
x.v. xlvi-8/14 pitol,1,2,2,1,2,,,135,95,35,7,,,,,0
x.v. xlvi-8/14 pitol,1,2,1,,,,12,81,,22,7,,,,,0
x.v. xlvi-8/14 pitol,4,2,2,2,2,,321,,120,37,7,,,,,4
x.v. xlvi-8/14 pitol,7,1,1,2,1,,12,,95,25,3,19,50,1,2,0
x.v. xlvi-8/14 pitol,4,2,2,1,2,,212,,180,54,7,,,,,0
x.v. xlvi-8/14 pitol,6,1,1,2,1,,12,,153,42,1,23,,2,1,0
x.v. xlvi-8/14 pitol,7,1,2,2,2,,123,,117,40,6,,,,,1
