cat,subsect_ID,valley,area_kmsq,lithic_density,total_lithics,total_retouched,retouch_freq,flakes,blades,bladelets,flake_cores,blade_cores,chunks,core_rejuv,flake_tech,blade_tech,ret_flakes,geometrics,microburins,bldt_utilized,bldt_ret,bkd_pieces,bkd_pts,drills,proj_pts,total_backed,dent_sickl,MPaleo_types,UPaleo_types,Neol1_types,Neol2_types,Neol_types,settlmnt_wt,MPaleo_TI,MPaleo_SII,MPaleo_SII_ntile,UPaleo_TI,UPaleo_SII,UPaleo_SII_ntile,LUPaleo_TI,LUPaleo_SII,LUPaleo_SII_ntl,Neol1_TI,Neol1_SII,Neol1_SII_ntl,Neol2_TI,Neol2_SII,Neol2_SII_ntl,elev_min,elev_max,elev_range,elev_mean,elev_stddev,elev_variance,elev_cf_var,distcoast,distcoast_30ka,distcoast_18ka,distcoast_13ka,val_elev
104,PLL-4,Gorgos,0.066738,14.983967155144,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.01,1,0.9,0.09,50,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,174,185,11,179.96251874063,2.68876918178482,7.22947971291583,1.49407176594366,11424.571967,13446.633291,13938.84213,13446.633291,"""246m Gorgos"""
101,PLL-1,Gorgos,0.110377,9.05985848501046,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,169,182,13,174.245487364621,3.16587562054931,10.0227684447885,1.81690537208834,11322.878814,13394.115837,13869.134486,13394.115837,"""246m Gorgos"""
102,PLL-2,Gorgos,0.035992,27.783951989331,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.025,1,0.7,0.175,50,0.5,0.125,50,0.3,0.075,10,0.3,0.075,10,169,181,12,172.983286908078,2.38489894055977,5.68774295668312,1.37868749240907,11266.286986,13333.277428,13809.738627,13333.277428,"""246m Gorgos"""
101,PLL-1,Gorgos,0.110377,9.05985848501046,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.03,10,0.1,0.01,10,0.1,0.01,10,0.1,0.01,1,0.1,0.01,1,169,182,13,174.245487364621,3.16587562054931,10.0227684447885,1.81690537208834,11322.878814,13394.115837,13869.134486,13394.115837,"""246m Gorgos"""
104,PLL-4,Gorgos,0.066738,14.983967155144,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.01,1,0.9,0.09,50,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,174,185,11,179.96251874063,2.68876918178482,7.22947971291583,1.49407176594366,11424.571967,13446.633291,13938.84213,13446.633291,"""246m Gorgos"""
104,PLL-4,Gorgos,0.066738,14.983967155144,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.01,1,0.9,0.09,50,0.5,0.05,25,0.3,0.03,10,0.3,0.03,10,174,185,11,179.96251874063,2.68876918178482,7.22947971291583,1.49407176594366,11424.571967,13446.633291,13938.84213,13446.633291,"""246m Gorgos"""
105,PLL-7,Gorgos,0.048868,20.4632888597855,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,25,0.1,0.025,25,0.1,0.025,25,0.1,0.025,10,0.1,0.025,10,183,193,10,187.934426229508,2.33553344529033,5.45471647406974,1.24273848711366,11369.246176,13381.477965,13876.854469,13381.477965,"""246m Gorgos"""
105,PLL-7,Gorgos,0.048868,20.4632888597855,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,25,0.1,0.025,25,0.1,0.025,25,0.1,0.025,10,0.1,0.025,10,183,193,10,187.934426229508,2.33553344529033,5.45471647406974,1.24273848711366,11369.246176,13381.477965,13876.854469,13381.477965,"""246m Gorgos"""
105,PLL-7,Gorgos,0.048868,20.4632888597855,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,25,0.1,0.025,25,0.1,0.025,25,0.1,0.025,10,0.1,0.025,10,183,193,10,187.934426229508,2.33553344529033,5.45471647406974,1.24273848711366,11369.246176,13381.477965,13876.854469,13381.477965,"""246m Gorgos"""
107,PLL-9,Gorgos,0.051665,38.7109261589084,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.3,0.075,25,0.1,0.025,25,0.1,0.025,25,0.1,0.025,10,0.1,0.025,10,184,190,6,186.177042801556,1.74820035595208,3.05620448455099,0.938998884956759,11165.168017,13177.532145,13672.54447,13177.532145,"""246m Gorgos"""
