bag_number,date,region,stratum,sector,subsector,site,abraded,edge_damage,technological_class,completeness,size_class,cortex,platform_type,blade_section,retouched_tool_type,retouch_mode,sheen,count,length,width,thickness,total,notes
409,12/31/1987,Serpis,XIII,XIII-12,,,1,3,4,2,1,1,3,1,,,,1,15.2,12,3,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,2,6,,2,,,,,,,6,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,3,6,,1,,,,,,,2,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,2,6,,1,,,,,,,4,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,1,6,,1,,,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,3,3,2,2,1,2,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,3,3,2,1,2,2,,,,,1,0,0,0,2760,
401,,Serpis,XIII,XIII-21,XIII-21-1,AC-30,1,3,3,2,1,1,2,,,,,1,0,0,0,2760,
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,3,6,,2,,,,,,,3,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,6,,2,,,,,,,7,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,6,,1,,,,,,,6,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,3,3,2,2,1,1,,,,,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,4,2,1,2,1,,1,,,1,19.1,14.8,2.7,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,4,2,1,1,3,1,,,,1,13.4,13.4,3.3,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,5,2,2,1,3,2,,,,1,20,11.3,3,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,5,2,1,1,0,1,,,,1,13.1,8.9,2.4,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,5,1,2,1,3,1,8,A,,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,5,2,1,1,3,1,1,,,1,15.6,9.5,3.4,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,4,2,1,1,0,1,"3.2
15","S
A",,1,0,0,0,2760,X. vilaplana
408,12/31/1993,Serpis,XIII,XIII-21,XIII-21-13,,1,2,3,2,1,1,3,,14,"S
A",,1,0,0,0,2760,X. vilaplana
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,3,6,,3,,,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,6,,2,,,,,,,5,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,6,,1,,,,,,,6,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,1.2,1,3,1,,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,1,2,3,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,5,2,1,1,0,1,,,,1,10.4,0,3.5,2760,
402,,Serpis,XIII,XIII-21,XIII-21-6,AC-71,1,2,3,2,1,1,0,,14,S,,1,0,0,0,2760,
406,12/31/1991,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,6,,3,,,,,,,1,0,0,0,2760,X. vilaplana
406,12/31/1991,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,6,,2,,,,,,,1,0,0,0,2760,X. vilaplana
406,12/31/1991,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,1,1,2,2,,,,,1,0,0,0,2760,X. vilaplana
406,12/31/1991,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,X. vilaplana
406,12/31/1991,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,X. vilaplana
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,6,,2,,,,,,,2,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,1,6,,1,,,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,6,,1,,,,,,,12,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,3,6,,1,,,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,1,3,1,2,1,2,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,3,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,0,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,1,2,1,2,,14,S,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,1,0,,3.1,S,,1,0,0,0,2760,
407,12/31/1987,Serpis,XIII,XIII-22,XIII-22-2,AC-72,1,2,3,2,1,2,0,,14,"S
A",,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,3,6,,2,,,,,,,2,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,6,,2,,,,,,,5,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,3,6,,1,,,,,,,4,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,6,,1,,,,,,,9,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,5,2,1,1,3,2,,,,1,10.7,0,3.5,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,1,2,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,3,3,1,1,1,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,1,1,2,,,,,1,0,0,0,2760,
410,,Serpis,XIII,XIII-22,XIII-22-3,AC-74,1,2,3,2,2,2,0,,14,S,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,6,,2,,,,,,,11,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,6,,1,,,,,,,12,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,1,6,,1,,,,,,,2,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,1.3,1,2,2,,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,1.2,1,2,1,,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,1.2,1,3,3,,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,1.2?,1,2,1,,,,,,1,0,0,0,2760,posible piedra de fusil
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,3,1,,,,1,12.3,8.5,3.3,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,0,1,,,,1,17,8.1,2.3,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,0,2,,,,1,16.2,11.2,4.2,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,3,2,2,,,,1,10.8,7.9,3.9,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,2,0,,14,S,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,1,1,0,1,"8
15","A
S",,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,5,2,2,1,0,3,15,S,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,4,2,1,1,2,1,,,,1,17.6,13.8,3.4,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,1,2,0,,7?,S,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,3,1,0,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,0,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,2,2,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,2,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,0,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,0,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,2,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,1,2,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,2,3,2,2,1,2,,,,,1,0,0,0,2760,
412,12/31/1988,Serpis,XIII,XIII-22,XIII-22-8,AC-73,1,3,3,2,1,1,2,,,,,1,0,0,0,2760,
