REGION,DATE,AREA,SECTOR,SSECTOR,SITE,COUNT,EROS,LABIO,BORDE,CUELLO,GALBO,BASE,PRENSION,DEC_1,DEC_2,DEC_3,BOLSA,MICRO,PSDA,TOTAL_CERA
serpis,,BP,BP-11,BP-11-8,ac-87a,10,0,,,,1,,,,,,70,,1,3301
serpis,,BP,BP-11,BP-11-8,ac-87a,1,0,,,,,,11,4.2,,,70,,1,3301
serpis,11/21/1993,BP,BP-11,BP-11-9 (1y2),AC-87b,2,0,,,,1,,,,,,71,,1,3301
serpis,,BP,BP-11,BP-11-9,ac-87B,1,0,,,,1,,,,,,72,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-15,AC-85,4,0,,,,1,,,,,,73,,2,3301
serpis,12/31/1988,BP,BP-4,BP-4-15,AC-85,1,1,1,1,,,,,,,,73,,2,3301
serpis,12/31/1988,BP,BP-4,BP-4-16,AC-85,24,0,,,,1,,,,,,74,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-18,ac-85,71,1,,,,1,,,,,,75,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-18,ac-85,1,0,,,,1,,,7,,,75,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-18,ac-85,1,0,1,1,,,,,,,,75,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-18,ac-85,2,0,2,0,,,,,,,,75,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-18,ac-85,1,0,1,0,,,,,3.1,,,75,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-19,ac-85,6,1,,,,1,,,,,,76,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-19,ac-85,1,0,,,,,4.1,,,,,76,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-19,ac-85,45,0,,,,1,,,,,,77,a,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-19,ac-85,1,0,2,0,,,,,,,,77,a,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-21/22,ac-85,9,1,,,,1,,,,,,78,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-21/22,ac-85,1,0,1,0,,,,,,,,78,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-23,ac-85,4,2,,,,1,,,,,,79,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-24,ac-85,1,0,,,,1,,,,,,80,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-25/26,ac-85,2,0,,,,1,,,,,,81,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-27,ac-85,6,0,,,,1,,,,,,82,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-27,ac-85,1,0,32,0,,,,,,,,82,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-28,ac-85,1,0,,,,1,,,,,,83,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-29,ac-85,1,1,,,,1,,,,,,84,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-30,ac-85,1,0,,,,1,,,,,,85,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-31,ac-85,1,0,,,,1,,,,,,86,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,33,0,,,,1,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,16,0,,,,1,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,5,0,,,,1,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,1,0,2,0,,,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,2,0,,,,1,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,2,1,1,0,,,,,,,,87,,1,3301
serpis,12/31/1988,BP,BP-4,BP-4-20,ac-85,1,0,32,0,,,,,,,,87,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,29,0,,,,1,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,0,,,,1,,3,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,1,,,,1,,,6,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,4,0,1,0,,,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,0,31,0,,,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,1,1,2,,,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,0,52,2,,,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-8,AC-44,1,0,32,0,,,,,,,,88,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,92,2,,,,1,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,,,5,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,,,4,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,2,0,,,,,4.1,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,0,,11,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,1,,,7,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,1,,,5,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,0,0,2,1,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,3.1,,,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,,,1,2.1,7,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,,,,,,1,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,5,2,,,,1,,,6,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,2,,,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,,,,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,1,0,1,,,,,,10.1,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-7,AC-44,2,0,1,,,,,,,,,89,,2,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,131,21,,,,1,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,,,11,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,1,,1,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,1,,3,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,1,,1,2.2,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,1,,,,1,,3,11,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,1,,,7,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,1,,,4.6,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,,,,2,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,10,6,1,0,0,1,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,51,0,0,0,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,2,1,2,0,0,0,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,2,,,,,3,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,31,0,0,0,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,1,52,,,,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,2,1,1,1,0,,,,,,,90,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-1/2,AC-44,1,0,1,2,,,,,,,,90,,1,3301
serpis,10/22/1995,BP,BP-4,BP-4-7,AC-44(02),17,0,,,,1,,,,,,91,,3,3301
serpis,10/22/1995,BP,BP-4,BP-4-7,AC-44(02),1,0,,,,1,,,7,,,91,,3,3301
serpis,10/22/1995,BP,BP-4,BP-4-7,AC-44(02),1,0,,,,,3,,,,,91,,3,3301
serpis,10/22/1995,BP,BP-4,BP-4-7,AC-44(02),3,0,,,,1,,1,2.1,7,,91,,3,3301
serpis,10/22/1995,BP,BP-4,BP-4-7,AC-44(02),2,0,1,0,,,,,,,,91,,3,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,117,11,,,,1,,,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,2,0,,,,1,,,7,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,,,,1,,3,,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,0,,,,1,,1,2.1,7,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,1,,,,1,,,2.2,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,1,1,,,,1,,,4.2,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,2,0,,,,1,,,4.6,,,92,,1,3301
serpis,10/12/1995,BP,BP-4,BP-4-3,AC-44,3,1,,,,1,,,7,,,92,,1,3301
